$type,id,operationType,vehicleId,naptanId,stationName,lineId,lineName,platformName,direction,bearing,destinationNaptanId,destinationName,timestamp,timeToStation,currentLocation,towards,expectedArrival,timeToLive,modeName,timing
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-341136075,1,010,940GZZLUHBN,Holborn Underground Station,central,Central,Eastbound - Platform 2,outbound,,940GZZLUEPG,Epping Underground Station,2023-06-24T13:41:10.6449592Z,354,Between Lancaster Gate and Marble Arch,Epping,2023-06-24T13:47:04Z,2023-06-24T13:47:04Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2023-06-24T13:40:18.323Z', 'sent': '2023-06-24T13:41:10Z', 'received': '0001-01-01T00:00:00'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1602700673,1,022,940GZZLUHBN,Holborn Underground Station,central,Central,Westbound - Platform 1,inbound,,940GZZLUWRP,West Ruislip Underground Station,2023-06-24T13:41:10.6449592Z,174,Between Bank and St. Paul's,West Ruislip,2023-06-24T13:44:04Z,2023-06-24T13:44:04Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2023-06-24T13:40:18.323Z', 'sent': '2023-06-24T13:41:10Z', 'received': '0001-01-01T00:00:00'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1008775452,1,023,940GZZLUHBN,Holborn Underground Station,central,Central,Westbound - Platform 1,inbound,,940GZZLUWRP,West Ruislip Underground Station,2023-06-24T13:41:10.6449592Z,774,At Mile End,West Ruislip,2023-06-24T13:54:04Z,2023-06-24T13:54:04Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2023-06-24T13:40:18.323Z', 'sent': '2023-06-24T13:41:10Z', 'received': '0001-01-01T00:00:00'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",84750810,1,051,940GZZLUHBN,Holborn Underground Station,central,Central,Westbound - Platform 1,inbound,,940GZZLUNAN,North Acton Underground Station,2023-06-24T13:41:10.6449592Z,1615,At Snaresbrook,North Acton,2023-06-24T14:08:05Z,2023-06-24T14:08:05Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2023-06-24T13:40:18.323Z', 'sent': '2023-06-24T13:41:10Z', 'received': '0001-01-01T00:00:00'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1200921554,1,055,940GZZLUHBN,Holborn Underground Station,central,Central,Eastbound - Platform 2,outbound,,940GZZLUEPG,Epping Underground Station,2023-06-24T13:41:10.6449592Z,85,At Tottenham Court Road,Epping,2023-06-24T13:42:35Z,2023-06-24T13:42:35Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2023-06-24T13:40:18.323Z', 'sent': '2023-06-24T13:41:10Z', 'received': '0001-01-01T00:00:00'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-607917869,1,056,940GZZLUHBN,Holborn Underground Station,central,Central,Eastbound - Platform 2,outbound,,940GZZLUEPG,Epping Underground Station,2023-06-24T13:41:10.6449592Z,1074,Between East Acton and White City,Epping,2023-06-24T13:59:04Z,2023-06-24T13:59:04Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2023-06-24T13:40:18.323Z', 'sent': '2023-06-24T13:41:10Z', 'received': '0001-01-01T00:00:00'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",84029915,1,101,940GZZLUHBN,Holborn Underground Station,central,Central,Westbound - Platform 1,inbound,,940GZZLUEBY,Ealing Broadway Underground Station,2023-06-24T13:41:10.6449592Z,1435,At Leytonstone,Ealing Broadway,2023-06-24T14:05:05Z,2023-06-24T14:05:05Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2023-06-24T13:40:18.323Z', 'sent': '2023-06-24T13:41:10Z', 'received': '0001-01-01T00:00:00'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-1201642449,1,105,940GZZLUHBN,Holborn Underground Station,central,Central,Eastbound - Platform 2,outbound,,940GZZLUHLT,Hainault Underground Station,2023-06-24T13:41:10.6449592Z,534,Between Queensway and Lancaster Gate,Hainault via Newbury Park,2023-06-24T13:50:04Z,2023-06-24T13:50:04Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2023-06-24T13:40:18.323Z', 'sent': '2023-06-24T13:41:10Z', 'received': '0001-01-01T00:00:00'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",-606541612,1,106,940GZZLUHBN,Holborn Underground Station,central,Central,Eastbound - Platform 2,outbound,,940GZZLUHLT,Hainault Underground Station,2023-06-24T13:41:10.6449592Z,1615,Left Ealing Broadway,Hainault via Newbury Park,2023-06-24T14:08:05Z,2023-06-24T14:08:05Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2023-06-24T13:40:18.323Z', 'sent': '2023-06-24T13:41:10Z', 'received': '0001-01-01T00:00:00'}"
"Tfl.Api.Presentation.Entities.Prediction, Tfl.Api.Presentation.Entities",83964379,1,111,940GZZLUHBN,Holborn Underground Station,central,Central,Westbound - Platform 1,inbound,,940GZZLUEBY,Ealing Broadway Underground Station,2023-06-24T13:41:10.6449592Z,894,Between Stratford and Mile End,Ealing Broadway,2023-06-24T13:56:04Z,2023-06-24T13:56:04Z,tube,"{'$type': 'Tfl.Api.Presentation.Entities.PredictionTiming, Tfl.Api.Presentation.Entities', 'countdownServerAdjustment': '00:00:00', 'source': '0001-01-01T00:00:00', 'insert': '0001-01-01T00:00:00', 'read': '2023-06-24T13:40:18.323Z', 'sent': '2023-06-24T13:41:10Z', 'received': '0001-01-01T00:00:00'}"
