Stop_Code_LBSL,Bus_Stop_Code,Naptan_Atco,Stop_Name,Location_Easting,Location_Northing,Heading,Stop_Area,Virtual_Bus_Stop
8416,74505,490008165C,HIGH HOLBORN / CHANCERY LANE STATION <>,531099,181734,159,8001,0
8417,55860,490015447S,CLERKENWELL ROAD / ROSEBERY AVENUE,530965,182050,153,8003,0
8419,77153,490004514E,BROWNLOW STREET,530886,181606,80,8015,0
8420,55273,490000044F,CHANCERY LANE STATION,531077,181607,276,8014,0
8437,76501,490005624S,SOUTHAMPTON ROW,530289,181907,140,8602,0
8438,59177,490000200J,RUSSELL SQUARE <>,530089,182157,144,8603,0
200,57929,490007391E,GRAY'S INN ROAD,530929,181951,68,8011,0
R0078,74729,490007391W,GRAY'S INN ROAD,530947,181947,247,8011,0
BP5646,91209,490000200H,RUSSELL SQUARE STATION <>,530082,182141,324,8607,0
25599,74088,490013477A,SOUTHAMPTON ROW / THEOBALD'S ROAD,530417,181745,143,8019,0
1075,56776,490007598N,COLEY STREET,530877,182183,330,8801,0
1076,54383,490007598S,COLEY STREET,530862,182219,143,8801,0
197,75412,490011686E,ROSEBERY AVENUE,531102,182148,14,8008,0
14682,54298,490007834F,RED LION STREET,530647,181812,245,8013,0
33093,52881,490007834C,RED LION STREET,530606,181815,65,8013,0
34307,75372,490011487G,RED LION SQUARE,530572,181677,155,8017,0
1473,76458,490004514W,BROWNLOW STREET,530928,181598,261,8015,0
